"IN","av","count"
1411,41.066,5
1412,43.2972413793103,29
1414,41.525,4
1415,21.1305,20
1416,60,1
1417,84.7763636363636,11
1419,29.3447619047619,21
1421,74.0526666666667,30
1422,65.2214285714286,14
1423,65.4533333333333,9
1424,76.1,1
1425,43.5566666666667,21
1427,23.7895,20
1428,30.105,2
1429,59.9746666666667,15
1430,42.1911764705882,17
1432,43.545,2
1433,28.8366666666667,3
1435,60,1
1436,45.37,2
1438,74.4430769230769,26
1440,58.9032,25
1441,60,1
1442,79.835,6
1443,134.97,2
1444,110.91,4
1445,46.8792,25
1446,120.606,10
1447,74.795,10
1448,54.9270588235294,17
1451,23.21,1
1452,250.4,1
1453,96.58,1
1454,85.1866666666667,3
1456,72.9766666666667,33
1457,60.2486666666667,15
1458,46.123,10
1460,34.8840625,32
1461,31.844,20
