"IN","av","count","class"
711,73.77125,16,2
716,66.64,2,2
719,66.4,1,2
721,60,5,2
726,67.6405882352941,17,2
733,44.975,2,2
734,57.5,3,2
742,95.059,10,2
743,51.45,2,2
744,17.4257142857143,7,2
747,60,1,2
748,207.72,1,2
756,60,7,2
762,50.514,10,2
766,60,1,2
768,35.43,26,2
778,60,4,2
781,60,1,2
785,67.14,5,2
788,13.3,1,2
793,60,5,2
794,115.305,2,2
796,108.12875,8,2
798,39.43,2,2
801,60,1,2
820,67.53,1,2
822,87.883,10,2
824,86.471,30,2
825,57.14,2,2
829,76.4834482758621,29,2
831,60,3,2
832,74.0233333333333,3,2
835,94.53,1,2
837,60,1,2
842,60,6,2
846,60,1,2
847,124.936666666667,6,2
853,60,1,2
857,32.3,1,2
863,60,4,2
871,95.8459459459459,37,2
873,73.4388888888889,9,2
875,75.08,1,2
876,60,1,2
879,80.5025,4,2
882,38.435,2,2
884,77.41,3,2
885,105.881463414634,41,2
888,5.93,1,2
893,86.3165909090909,44,2
897,64.66,3,2
899,63.6866666666667,3,2
904,62.8230769230769,13,2
909,84.49875,16,2
919,106.516,5,2
920,62.885,4,2
925,99.5783333333333,6,2
926,96.27,3,2
927,84.7953846153846,13,2
939,60,1,2
941,60,1,2
947,51.35,2,2
949,60,5,2
952,60,1,2
954,10.14,1,2
955,48.07,1,2
961,98.496,5,2
962,3.03,1,2
967,111.983636363636,11,2
969,74.0764705882353,17,2
970,53.7346153846154,13,2
973,36.3,1,2
975,60,1,2
979,29.18125,8,2
980,84.9892307692308,13,2
992,78.08,1,2
996,60,1,2
997,83.0352173913043,23,2
1007,60,1,2
1008,89.2804347826087,23,2
1014,60.5783333333333,6,2
1020,60,1,2
1023,60,1,2
1038,31.29,1,2
1041,80.6516666666667,12,2
1043,31.4,3,2
1052,72.4833333333333,21,2
1055,67.01,1,2
1056,74.09,1,2
1059,60.380350877193,57,2
1062,6.49,1,2
1069,82.94,2,2
1071,60,1,2
1088,60,1,2
1089,76.05,1,2
1091,60,1,2
1092,53.6166666666667,3,2
1094,69.8406666666667,30,2
1097,66.78,5,2
1101,48.84,1,2
1109,60,1,2
1116,83.628125,16,2
1126,60,1,2
1127,60,1,2
1128,60,1,2
1132,60,1,2
1133,60,11,2
1136,83.99,3,2
1140,45.42,1,2
1146,57.0033333333333,6,2
1147,60,1,2
1149,109.161111111111,9,2
1150,64.2427272727273,11,2
1151,60,1,2
1154,34.57,1,2
1164,60,1,2
1165,60,1,2
1169,45.0366666666667,3,2
1172,60,1,2
1177,86.8957142857143,7,2
1178,81.9369565217391,23,2
1181,84.7441666666667,12,2
1182,73.7307142857143,14,2
1190,60,1,2
1192,79.38,1,2
1194,78.044,20,2
1195,60,1,2
1197,83.4373684210526,19,2
1202,40.46,1,2
